CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score
335050,MARY MANNING WALSH NURSING HOME CO INC,NEW YORK,New York,NY,4.0,5.0,3.18536,0.9469613259668509,0,18.0,20.0
335517,NEW EAST SIDE NURSING HOME,NEW YORK,New York,NY,5.0,3.0,3.3108,0.9396551724137931,0,6.0,0.0
335461,NEW GOUVERNEUR HOSPITAL S N F,NEW YORK,New York,NY,4.0,5.0,5.01635,0.9715254237288137,0,15.0,12.0
335792,NORTHERN MANHATTAN REHABILITATION AND NURSING CTR,NEW YORK,New York,NY,1.0,2.0,2.62816,0.9528125,1,80.0,80.0
335762,ST MARYS CENTER INC,NEW YORK,New York,NY,4.0,,5.04609,0.9179487179487179,0,12.0,12.0
335665,TERENCE CARDINAL COOKE HEALTH CARE CENTER,NEW YORK,New York,NY,3.0,4.0,3.44018,0.7823269513991165,0,26.0,24.0
335491,"THE NEW JEWISH HOME, MANHATTAN",NEW YORK,New York,NY,2.0,5.0,3.44503,0.7937743190661478,0,60.75,24.0
335334,THE RIVERSIDE,NEW YORK,New York,NY,4.0,5.0,2.4492,0.9492307692307693,0,25.0,12.0
335027,WEST VILLAGE REHABILITATION AND NURSING CENTER,NEW YORK,New York,NY,4.0,5.0,3.03023,0.9542857142857143,0,16.0,20.0
335232,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,NEW YORK CITY,New York,NY,4.0,5.0,2.74732,0.9098196392785571,0,16.0,16.0
335063,COLER REHABILITATION AND NURSING CARE CENTER,ROOSEVELT ISLAND,New York,NY,4.0,3.0,5.03055,0.6092024539877301,0,16.0,4.0
335824,PUTNAM RIDGE,BREWSTER,Putnam,NY,1.0,3.0,3.37272,0.91375,0,124.0,144.0
335229,PUTNAM NURSING & REHABILITATION CENTER,HOLMES,Putnam,NY,2.0,2.0,2.92007,0.665625,1,66.0,84.0
335415,"LAWRENCE NURSING CARE CENTER, INC",ARVERNE,Queens,NY,1.0,3.0,2.1943,0.9915,0,109.0,128.0
335738,OCEAN GARDENS CARE CENTER,ARVERNE,Queens,NY,2.0,3.0,2.75716,0.9396428571428572,0,64.0,56.0
335199,RESORT NURSING HOME,ARVERNE,Queens,NY,4.0,3.0,3.67203,0.77,0,17.0,12.0
335838,NEW YORK CENTER FOR REHABILITATION & NURSING,ASTORIA,Queens,NY,4.0,4.0,3.50584,0.9621428571428571,0,12.0,16.0
335363,OZANAM HALL OF QUEENS NURSING HOME INC,BAYSIDE,Queens,NY,3.0,4.0,3.70705,0.8601851851851853,0,25.0,24.0
33A081,ST MARYS HOSPITAL FOR CHILDREN,BAYSIDE,Queens,NY,5.0,,,1.0024193548387097,0,9.0,4.0
335317,PARK TERRACE CARE CENTER,CORONA,Queens,NY,2.0,4.0,,0.9640000000000001,0,63.0,52.0
335814,ELMHURST CARE CENTER INC,EAST ELMHURST,Queens,NY,4.0,5.0,3.38561,0.9670833333333333,0,22.0,16.0
335682,BEACH GARDENS REHAB AND NURSING CENTER,FAR ROCKAWAY,Queens,NY,3.0,1.0,3.39307,0.9558282208588957,0,34.0,44.0
335666,BEZALEL REHABILITATION AND NURSING CENTER,FAR ROCKAWAY,Queens,NY,4.0,3.0,3.11568,0.9525,0,19.0,0.0
335582,BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,FAR ROCKAWAY,Queens,NY,2.0,1.0,3.12009,0.9684563758389263,0,61.0,64.0
335044,FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,FAR ROCKAWAY,Queens,NY,2.0,1.0,2.93146,0.972,0,49.0,56.0
